Alue,Vuosi,"Asuntoväestö, henkilöä","Asuntoväestö, lapsia",Pienituloisten henkilöiden lukumäärä (raja 60 % mediaanista),Pienituloisten lasten lukumäärä asuntoväestössä,Asuntoväestön pienituloisuusaste (raja 60 % mediaanista),Asuntoväestöön kuuluvien lasten pienituloisuusaste,Pitkittyneesti pienituloisten henkilöiden lukumäärä (raja 60 % mediaanista),Pitkittyneesti pienituloisten lasten lukumäärä asuntoväestössä,Pitkittyneesti pienituloisten henkilöiden osuus (raja 60 % mediaanista),Pitkittyneesti pienituloisten lasten osuus asuntoväestössä
Parkano,1996,8060,,825,,10.2,,,,,
Parkano,1997,7966,,936,,11.7,,,,,
Parkano,1998,7881,,900,,11.4,,449,,5.7,
Parkano,1999,7838,,945,,12.1,,514,,6.6,
Parkano,2000,7689,,1069,,13.9,,547,,7.1,
Parkano,2001,7636,,1104,,14.5,,594,,7.8,
Parkano,2002,7495,,1062,,14.2,,641,,8.6,
Parkano,2003,7383,,1076,,14.6,,671,,9.1,
Parkano,2004,7357,,1155,,15.7,,743,,10.1,
Parkano,2005,7224,,1217,,16.8,,754,,10.4,
Parkano,2006,7098,,1343,,18.9,,824,,11.6,
Parkano,2007,7024,,1369,,19.5,,839,,11.9,
Parkano,2008,7001,,1276,,18.2,,892,,12.7,
Parkano,2009,6951,,1209,,17.4,,860,,12.4,
Parkano,2010,6867,1271,1142,215,16.6,16.9,808,,11.8,
Parkano,2011,6889,1277,1246,246,18.1,19.3,805,,11.7,
Parkano,2012,6813,1223,1163,241,17.1,19.7,774,,11.4,
Parkano,2013,6724,1202,1023,199,15.2,16.6,724,111,10.8,9.2
Parkano,2014,6693,1206,1008,200,15.1,16.6,722,113,10.8,9.4
Parkano,2015,6638,1204,951,181,14.3,15,655,97,9.9,8.1
Parkano,2016,6543,1174,1029,211,15.7,18,676,100,10.3,8.5
Parkano,2017,6413,1101,1037,203,16.2,18.4,681,108,10.6,9.8
Parkano,2018,6316,1067,1053,181,16.7,17,719,110,11.4,10.3
Parkano,2019,6257,1039,1069,170,17.1,16.4,707,95,11.3,9.1
Parkano,2020,6206,1049,959,170,15.5,16.2,694,96,11.2,9.2
Parkano,2021,6143,1041,984,176,16,16.9,671,91,10.9,8.7
Parkano,2022,6092,1000,1044,163,17.1,16.3,677,79,11.1,7.9
Pedersören kunta,1995,10099,,547,,5.4,,,,,
Pedersören kunta,1996,10130,,680,,6.7,,,,,
Pedersören kunta,1997,10130,,704,,6.9,,,,,
Pedersören kunta,1998,10153,,708,,7,,281,,2.8,
Pedersören kunta,1999,10110,,813,,8,,351,,3.5,
Pedersören kunta,2000,10217,,859,,8.4,,402,,3.9,
Pedersören kunta,2001,10215,,734,,7.2,,425,,4.2,
Pedersören kunta,2002,10258,,816,,8,,467,,4.6,
Pedersören kunta,2003,10353,,919,,8.9,,497,,4.8,
Pedersören kunta,2004,10466,,943,,9,,487,,4.7,
Pedersören kunta,2005,10518,,967,,9.2,,545,,5.2,
Pedersören kunta,2006,10568,,1036,,9.8,,602,,5.7,
Pedersören kunta,2007,10610,,1065,,10,,628,,5.9,
Pedersören kunta,2008,10708,,1039,,9.7,,610,,5.7,
Pedersören kunta,2009,10771,,1048,,9.7,,604,,5.6,
Pedersören kunta,2010,10836,3201,1024,339,9.4,10.6,590,,5.4,
Pedersören kunta,2011,10874,3180,975,301,9,9.5,595,,5.5,
Pedersören kunta,2012,10874,3147,901,287,8.3,9.1,552,,5.1,
Pedersören kunta,2013,10916,3136,851,270,7.8,8.6,535,130,4.9,4.1
Pedersören kunta,2014,11011,3139,831,289,7.5,9.2,441,90,4,2.9
Pedersören kunta,2015,11067,3127,795,254,7.2,8.1,439,93,4,3
Pedersören kunta,2016,11007,3099,778,223,7.1,7.2,441,98,4,3.2
Pedersören kunta,2017,11018,3106,780,243,7.1,7.8,443,106,4,3.4
Pedersören kunta,2018,10926,3090,880,313,8.1,10.1,454,124,4.2,4
Pedersören kunta,2019,10996,3090,817,243,7.4,7.9,459,118,4.2,3.8
Pedersören kunta,2020,11088,3146,697,203,6.3,6.5,403,92,3.6,2.9
Pedersören kunta,2021,11081,3115,732,209,6.6,6.7,381,77,3.4,2.5
Pedersören kunta,2022,11101,3104,751,217,6.8,7,404,79,3.6,2.5
Pelkosenniemi,1995,1375,,157,,11.4,,,,,
Pelkosenniemi,1996,1338,,131,,9.8,,,,,
Pelkosenniemi,1997,1334,,123,,9.2,,,,,
Pelkosenniemi,1998,1288,,133,,10.3,,59,,4.6,
Pelkosenniemi,1999,1243,,168,,13.5,,69,,5.6,
Pelkosenniemi,2000,1220,,188,,15.4,,87,,7.1,
Pelkosenniemi,2001,1188,,198,,16.7,,101,,8.5,
Pelkosenniemi,2002,1191,,197,,16.5,,110,,9.2,
Pelkosenniemi,2003,1158,,188,,16.2,,118,,10.2,
Pelkosenniemi,2004,1129,,233,,20.6,,137,,12.1,
Pelkosenniemi,2005,1107,,218,,19.7,,138,,12.5,
Pelkosenniemi,2006,1064,,208,,19.5,,128,,12,
Pelkosenniemi,2007,1050,,208,,19.8,,113,,10.8,
Pelkosenniemi,2008,1036,,216,,20.8,,132,,12.7,
Pelkosenniemi,2009,1018,,227,,22.3,,153,,15,
Pelkosenniemi,2010,996,102,203,21,20.4,20.6,151,,15.2,
Pelkosenniemi,2011,940,94,186,24,19.8,25.5,138,,14.7,
Pelkosenniemi,2012,935,94,175,,18.7,,133,,14.2,
Pelkosenniemi,2013,928,93,161,,17.3,,125,,13.5,
Pelkosenniemi,2014,913,94,135,,14.8,,105,,11.5,
Pelkosenniemi,2015,904,90,137,,15.2,,107,,11.8,
Pelkosenniemi,2016,906,98,148,,16.3,,97,,10.7,
Pelkosenniemi,2017,899,104,167,37,18.6,35.6,96,,10.7,
Pelkosenniemi,2018,893,97,146,21,16.3,21.6,102,,11.4,
Pelkosenniemi,2019,894,101,154,25,17.2,24.8,102,,11.4,
Pelkosenniemi,2020,876,92,124,20,14.2,21.7,91,,10.4,
Pelkosenniemi,2021,872,93,120,,13.8,,90,,10.3,
Pelkosenniemi,2022,885,104,129,21,14.6,20.2,94,,10.6,
Pello,1995,5382,,418,,7.8,,,,,
Pello,1996,5297,,417,,7.9,,,,,
Pello,1997,5165,,523,,10.1,,,,,
Pello,1998,5074,,585,,11.5,,243,,4.8,
Pello,1999,4908,,659,,13.4,,281,,5.7,
Pello,2000,4787,,700,,14.6,,369,,7.7,
Pello,2001,4606,,688,,14.9,,378,,8.2,
Pello,2002,4568,,647,,14.2,,380,,8.3,
Pello,2003,4525,,636,,14.1,,388,,8.6,
Pello,2004,4461,,649,,14.5,,408,,9.1,
Pello,2005,4441,,668,,15,,385,,8.7,
Pello,2006,4324,,766,,17.7,,441,,10.2,
Pello,2007,4175,,744,,17.8,,412,,9.9,
Pello,2008,4072,,719,,17.7,,467,,11.5,
Pello,2009,3964,,641,,16.2,,423,,10.7,
Pello,2010,3920,548,611,74,15.6,13.5,420,,10.7,
Pello,2011,3813,519,600,84,15.7,16.2,419,,11,
Pello,2012,3715,480,550,71,14.8,14.8,402,,10.8,
Pello,2013,3635,464,480,59,13.2,12.7,359,32,9.9,6.9
Pello,2014,3568,449,442,44,12.4,9.8,326,23,9.1,5.1
Pello,2015,3516,439,436,60,12.4,13.7,313,28,8.9,6.4
Pello,2016,3460,420,403,46,11.6,11,288,,8.3,
Pello,2017,3409,410,462,75,13.6,18.3,287,28,8.4,6.8
Pello,2018,3328,396,498,85,15,21.5,287,37,8.6,9.3
Pello,2019,3268,389,481,66,14.7,17,314,41,9.6,10.5
Pello,2020,3195,385,461,86,14.4,22.3,343,54,10.7,14
Pello,2021,3186,382,479,65,15,17,318,38,10,9.9
Pello,2022,3159,375,430,44,13.6,11.7,303,32,9.6,8.5
Perho,1995,3371,,332,,9.8,,,,,
Perho,1996,3338,,419,,12.6,,,,,
Perho,1997,3298,,503,,15.3,,,,,
Perho,1998,3264,,478,,14.6,,204,,6.3,
Perho,1999,3215,,497,,15.5,,211,,6.6,
Perho,2000,3133,,462,,14.7,,245,,7.8,
Perho,2001,3075,,505,,16.4,,249,,8.1,
Perho,2002,3043,,452,,14.9,,247,,8.1,
Perho,2003,3015,,444,,14.7,,244,,8.1,
Perho,2004,2978,,526,,17.7,,266,,8.9,
Perho,2005,3030,,520,,17.2,,286,,9.4,
Perho,2006,2989,,574,,19.2,,310,,10.4,
Perho,2007,3006,,633,,21.1,,320,,10.6,
Perho,2008,3007,,595,,19.8,,373,,12.4,
Perho,2009,2972,,582,,19.6,,367,,12.3,
Perho,2010,2925,875,500,185,17.1,21.1,333,,11.4,
Perho,2011,2878,881,566,215,19.7,24.4,372,,12.9,
Perho,2012,2886,884,539,211,18.7,23.9,358,,12.4,
Perho,2013,2884,897,515,212,17.9,23.6,310,110,10.7,12.3
Perho,2014,2859,878,482,213,16.9,24.3,320,131,11.2,14.9
Perho,2015,2899,901,542,251,18.7,27.9,342,139,11.8,15.4
Perho,2016,2868,899,452,197,15.8,21.9,321,140,11.2,15.6
Perho,2017,2827,871,518,232,18.3,26.6,315,147,11.1,16.9
Perho,2018,2792,865,489,207,17.5,23.9,295,122,10.6,14.1
Perho,2019,2718,838,548,236,20.2,28.2,348,141,12.8,16.8
Perho,2020,2670,824,485,200,18.2,24.3,338,133,12.7,16.1
Perho,2021,2644,816,458,189,17.3,23.2,336,133,12.7,16.3
Perho,2022,2612,796,418,155,16,19.5,312,119,11.9,14.9
Pertunmaa,1995,2267,,427,,18.8,,,,,
Pertunmaa,1996,2235,,413,,18.5,,,,,
Pertunmaa,1997,2196,,405,,18.4,,,,,
Pertunmaa,1998,2165,,421,,19.4,,236,,10.9,
Pertunmaa,1999,2119,,424,,20,,259,,12.2,
Pertunmaa,2000,2146,,469,,21.9,,282,,13.1,
Pertunmaa,2001,2164,,515,,23.8,,298,,13.8,
Pertunmaa,2002,2130,,498,,23.4,,328,,15.4,
Pertunmaa,2003,2123,,483,,22.8,,329,,15.5,
Pertunmaa,2004,2071,,496,,23.9,,336,,16.2,
Pertunmaa,2005,2056,,487,,23.7,,335,,16.3,
Pertunmaa,2006,2023,,519,,25.7,,343,,17,
Pertunmaa,2007,1973,,507,,25.7,,334,,16.9,
Pertunmaa,2008,1937,,441,,22.8,,330,,17,
Pertunmaa,2009,1943,,492,,25.3,,350,,18,
Pertunmaa,2010,1898,314,484,71,25.5,22.6,343,,18.1,
Pertunmaa,2011,1864,299,425,38,22.8,12.7,317,,17,
Pertunmaa,2012,1812,290,435,45,24,15.5,321,,17.7,
Pertunmaa,2013,1795,282,363,36,20.2,12.8,290,23,16.2,8.2
Pertunmaa,2014,1785,275,355,30,19.9,10.9,286,,16,
Pertunmaa,2015,1769,268,387,49,21.9,18.3,267,,15.1,
Pertunmaa,2016,1751,266,356,45,20.3,16.9,249,,14.2,
Pertunmaa,2017,1688,249,360,40,21.3,16.1,246,,14.6,
Pertunmaa,2018,1664,234,337,38,20.3,16.2,246,,14.8,
Pertunmaa,2019,1642,220,353,35,21.5,15.9,237,,14.4,
Pertunmaa,2020,1612,214,356,42,22.1,19.6,260,27,16.1,12.6
Pertunmaa,2021,1591,206,344,40,21.6,19.4,250,27,15.7,13.1
Pertunmaa,2022,1553,192,329,41,21.2,21.4,246,24,15.8,12.5
Petäjävesi,1995,3736,,411,,11,,,,,
Petäjävesi,1996,3698,,444,,12,,,,,
Petäjävesi,1997,3734,,505,,13.5,,,,,
Petäjävesi,1998,3751,,570,,15.2,,304,,8.1,
Petäjävesi,1999,3730,,615,,16.5,,328,,8.8,
Petäjävesi,2000,3722,,662,,17.8,,381,,10.2,
Petäjävesi,2001,3700,,629,,17,,365,,9.9,
Petäjävesi,2002,3673,,685,,18.6,,428,,11.7,
Petäjävesi,2003,3635,,740,,20.4,,463,,12.7,
Petäjävesi,2004,3614,,705,,19.5,,474,,13.1,
Petäjävesi,2005,3643,,693,,19,,472,,13,
Petäjävesi,2006,3693,,699,,18.9,,492,,13.3,
Petäjävesi,2007,3802,,747,,19.6,,525,,13.8,
Petäjävesi,2008,3820,,680,,17.8,,466,,12.2,
Petäjävesi,2009,3910,,683,,17.5,,496,,12.7,
Petäjävesi,2010,3939,916,699,135,17.7,14.7,486,,12.3,
Petäjävesi,2011,3983,949,697,132,17.5,13.9,477,,12,
Petäjävesi,2012,4012,968,627,105,15.6,10.8,441,,11,
Petäjävesi,2013,4034,980,635,145,15.7,14.8,418,57,10.4,5.8
Petäjävesi,2014,3994,974,596,135,14.9,13.9,418,64,10.5,6.6
Petäjävesi,2015,3930,944,609,141,15.5,14.9,394,67,10,7.1
Petäjävesi,2016,3901,934,524,103,13.4,11,386,70,9.9,7.5
Petäjävesi,2017,3850,915,545,101,14.2,11,368,57,9.6,6.2
Petäjävesi,2018,3834,904,541,114,14.1,12.6,353,57,9.2,6.3
Petäjävesi,2019,3774,877,507,107,13.4,12.2,327,46,8.7,5.2
Petäjävesi,2020,3707,841,539,111,14.5,13.2,355,51,9.6,6.1
Petäjävesi,2021,3618,805,462,71,12.8,8.8,300,28,8.3,3.5
Petäjävesi,2022,3589,785,508,91,14.2,11.6,322,40,9,5.1
Pieksämäki,1995,22835,,2034,,8.9,,,,,
Pieksämäki,1996,22698,,2197,,9.7,,,,,
Pieksämäki,1997,22474,,2517,,11.2,,,,,
Pieksämäki,1998,22237,,2850,,12.8,,1281,,5.8,
Pieksämäki,1999,21989,,3031,,13.8,,1456,,6.6,
Pieksämäki,2000,21695,,3366,,15.5,,1732,,8,
Pieksämäki,2001,21437,,3511,,16.4,,1979,,9.2,
Pieksämäki,2002,21146,,3344,,15.8,,2070,,9.8,
Pieksämäki,2003,20918,,3502,,16.7,,2186,,10.5,
Pieksämäki,2004,20757,,3581,,17.3,,2203,,10.6,
Pieksämäki,2005,20604,,3540,,17.2,,2222,,10.8,
Pieksämäki,2006,20369,,3603,,17.7,,2294,,11.3,
Pieksämäki,2007,20126,,3700,,18.4,,2330,,11.6,
Pieksämäki,2008,19961,,3614,,18.1,,2406,,12.1,
Pieksämäki,2009,19818,,3418,,17.2,,2380,,12,
Pieksämäki,2010,19516,3250,3379,470,17.3,14.5,2420,,12.4,
Pieksämäki,2011,19302,3230,3309,454,17.1,14.1,2282,,11.8,
Pieksämäki,2012,19030,3107,3179,440,16.7,14.2,2184,,11.5,
Pieksämäki,2013,18914,3064,3029,425,16,13.9,2026,163,10.7,5.3
Pieksämäki,2014,18714,3000,2944,457,15.7,15.2,2042,202,10.9,6.7
Pieksämäki,2015,18440,2926,2937,444,15.9,15.2,2023,204,11,7
Pieksämäki,2016,18124,2827,2790,394,15.4,13.9,1889,181,10.4,6.4
Pieksämäki,2017,17860,2756,2803,378,15.7,13.7,1850,168,10.4,6.1
Pieksämäki,2018,17536,2659,2859,404,16.3,15.2,1888,182,10.8,6.8
Pieksämäki,2019,17273,2572,2936,403,17,15.7,1897,171,11,6.6
Pieksämäki,2020,16959,2465,2597,317,15.3,12.9,1865,152,11,6.2
Pieksämäki,2021,16850,2429,2712,331,16.1,13.6,1881,152,11.2,6.3
Pieksämäki,2022,16665,2365,2719,294,16.3,12.4,1860,140,11.2,5.9
Pielavesi,1995,6378,,833,,13.1,,,,,
Pielavesi,1996,6312,,892,,14.1,,,,,
Pielavesi,1997,6141,,984,,16,,,,,
Pielavesi,1998,6031,,1014,,16.8,,523,,8.7,
Pielavesi,1999,5924,,1118,,18.9,,577,,9.7,
Pielavesi,2000,5777,,1160,,20.1,,628,,10.9,
Pielavesi,2001,5690,,1099,,19.3,,715,,12.6,
Pielavesi,2002,5613,,1104,,19.7,,729,,13,
Pielavesi,2003,5495,,1119,,20.4,,734,,13.4,
Pielavesi,2004,5405,,1187,,22,,723,,13.4,
Pielavesi,2005,5333,,1172,,22,,720,,13.5,
Pielavesi,2006,5216,,1186,,22.7,,763,,14.6,
Pielavesi,2007,5143,,1215,,23.6,,807,,15.7,
Pielavesi,2008,5101,,1196,,23.4,,813,,15.9,
Pielavesi,2009,5019,,1086,,21.6,,806,,16.1,
Pielavesi,2010,4949,941,1097,178,22.2,18.9,788,,15.9,
Pielavesi,2011,4863,921,1042,153,21.4,16.6,742,,15.3,
Pielavesi,2012,4804,886,1002,162,20.9,18.3,732,,15.2,
Pielavesi,2013,4697,856,944,156,20.1,18.2,668,78,14.2,9.1
Pielavesi,2014,4660,834,888,165,19.1,19.8,623,84,13.4,10.1
Pielavesi,2015,4618,844,854,169,18.5,20,582,82,12.6,9.7
Pielavesi,2016,4568,817,807,135,17.7,16.5,568,74,12.4,9.1
Pielavesi,2017,4486,794,809,133,18,16.8,511,51,11.4,6.4
Pielavesi,2018,4362,768,795,122,18.2,15.9,524,59,12,7.7
Pielavesi,2019,4248,740,823,138,19.4,18.6,541,64,12.7,8.6
Pielavesi,2020,4184,712,745,106,17.8,14.9,548,53,13.1,7.4
Pielavesi,2021,4134,667,744,97,18,14.5,539,61,13,9.1
Pielavesi,2022,4015,646,729,99,18.2,15.3,524,55,13.1,8.5
Pietarsaari,1995,19812,,962,,4.9,,,,,
Pietarsaari,1996,19625,,1100,,5.6,,,,,
Pietarsaari,1997,19543,,1215,,6.2,,,,,
Pietarsaari,1998,19494,,1344,,6.9,,470,,2.4,
Pietarsaari,1999,19390,,1716,,8.8,,643,,3.3,
Pietarsaari,2000,19314,,1774,,9.2,,779,,4,
Pietarsaari,2001,19201,,1729,,9,,886,,4.6,
Pietarsaari,2002,19154,,1717,,9,,957,,5,
Pietarsaari,2003,19102,,1725,,9,,949,,5,
Pietarsaari,2004,19118,,1880,,9.8,,911,,4.8,
Pietarsaari,2005,19203,,1999,,10.4,,1034,,5.4,
Pietarsaari,2006,19255,,2058,,10.7,,1145,,5.9,
Pietarsaari,2007,19253,,2180,,11.3,,1184,,6.1,
Pietarsaari,2008,19344,,2170,,11.2,,1258,,6.5,
Pietarsaari,2009,19297,,2228,,11.5,,1307,,6.8,
Pietarsaari,2010,19296,4086,2365,536,12.3,13.1,1332,,6.9,
Pietarsaari,2011,19200,4000,2480,542,12.9,13.6,1405,,7.3,
Pietarsaari,2012,19256,3925,2324,475,12.1,12.1,1371,,7.1,
Pietarsaari,2013,19209,3887,2308,469,12,12.1,1406,251,7.3,6.5
Pietarsaari,2014,19167,3812,2318,505,12.1,13.2,1379,242,7.2,6.3
Pietarsaari,2015,19025,3752,2223,468,11.7,12.5,1317,232,6.9,6.2
Pietarsaari,2016,18985,3709,2269,445,12,12,1289,203,6.8,5.5
Pietarsaari,2017,18965,3693,2322,478,12.2,12.9,1313,212,6.9,5.7
Pietarsaari,2018,18868,3700,2267,475,12,12.8,1287,198,6.8,5.4
Pietarsaari,2019,18841,3661,2317,460,12.3,12.6,1359,222,7.2,6.1
Pietarsaari,2020,18689,3579,2033,372,10.9,10.4,1252,174,6.7,4.9
Pietarsaari,2021,18736,3548,2306,437,12.3,12.3,1341,190,7.2,5.4
Pietarsaari,2022,18755,3502,2353,447,12.5,12.8,1342,195,7.2,5.6
Pihtipudas,1995,5486,,797,,14.5,,,,,
Pihtipudas,1996,5423,,863,,15.9,,,,,
Pihtipudas,1997,5378,,948,,17.6,,,,,
Pihtipudas,1998,5277,,909,,17.2,,496,,9.4,
Pihtipudas,1999,5237,,927,,17.7,,521,,9.9,
Pihtipudas,2000,5150,,960,,18.6,,530,,10.3,
Pihtipudas,2001,5068,,1035,,20.4,,595,,11.7,
Pihtipudas,2002,4975,,965,,19.4,,620,,12.5,
Pihtipudas,2003,4915,,1055,,21.5,,639,,13,
Pihtipudas,2004,4901,,1121,,22.9,,675,,13.8,
Pihtipudas,2005,4829,,1070,,22.2,,666,,13.8,
Pihtipudas,2006,4754,,1031,,21.7,,662,,13.9,
Pihtipudas,2007,4696,,1048,,22.3,,666,,14.2,
Pihtipudas,2008,4606,,1090,,23.7,,706,,15.3,
Pihtipudas,2009,4523,,994,,22,,660,,14.6,
Pihtipudas,2010,4465,947,984,226,22,23.9,637,,14.3,
Pihtipudas,2011,4412,921,929,187,21.1,20.3,655,,14.8,
Pihtipudas,2012,4343,899,840,166,19.3,18.5,603,,13.9,
Pihtipudas,2013,4269,849,833,166,19.5,19.6,581,92,13.6,10.8
Pihtipudas,2014,4177,849,790,157,18.9,18.5,582,99,13.9,11.7
Pihtipudas,2015,4140,827,844,206,20.4,24.9,529,81,12.8,9.8
Pihtipudas,2016,4110,801,747,142,18.2,17.7,544,87,13.2,10.9
Pihtipudas,2017,4020,773,768,128,19.1,16.6,518,65,12.9,8.4
Pihtipudas,2018,3949,741,781,134,19.8,18.1,545,79,13.8,10.7
Pihtipudas,2019,3921,738,749,125,19.1,16.9,517,57,13.2,7.7
Pihtipudas,2020,3828,698,688,115,18,16.5,476,45,12.4,6.4
Pihtipudas,2021,3776,662,650,86,17.2,13,454,39,12,5.9
Pihtipudas,2022,3698,641,622,69,16.8,10.8,431,31,11.7,4.8
Pirkkala,1995,11622,,575,,4.9,,,,,
Pirkkala,1996,11638,,684,,5.9,,,,,
Pirkkala,1997,11738,,706,,6,,,,,
Pirkkala,1998,11947,,763,,6.4,,308,,2.6,
Pirkkala,1999,12232,,904,,7.4,,386,,3.2,
Pirkkala,2000,12623,,908,,7.2,,417,,3.3,
Pirkkala,2001,13161,,914,,6.9,,474,,3.6,
Pirkkala,2002,13552,,957,,7.1,,532,,3.9,
Pirkkala,2003,14200,,1039,,7.3,,526,,3.7,
Pirkkala,2004,14424,,1153,,8,,579,,4,
Pirkkala,2005,14738,,1206,,8.2,,615,,4.2,
Pirkkala,2006,15101,,1257,,8.3,,693,,4.6,
Pirkkala,2007,15629,,1302,,8.3,,742,,4.7,
Pirkkala,2008,15997,,1270,,7.9,,746,,4.7,
Pirkkala,2009,16359,,1227,,7.5,,731,,4.5,
Pirkkala,2010,17075,4391,1257,276,7.4,6.3,677,,4,
Pirkkala,2011,17593,4488,1409,310,8,6.9,749,,4.3,
Pirkkala,2012,17964,4588,1306,300,7.3,6.5,714,,4,
Pirkkala,2013,18210,4595,1342,308,7.4,6.7,724,109,4,2.4
Pirkkala,2014,18503,4661,1275,298,6.9,6.4,729,132,3.9,2.8
Pirkkala,2015,18705,4698,1249,271,6.7,5.8,678,84,3.6,1.8
Pirkkala,2016,18894,4748,1273,309,6.7,6.5,694,111,3.7,2.3
Pirkkala,2017,18952,4721,1336,296,7,6.3,699,110,3.7,2.3
Pirkkala,2018,19101,4663,1342,287,7,6.2,694,116,3.6,2.5
Pirkkala,2019,19370,4731,1346,314,6.9,6.6,719,114,3.7,2.4
Pirkkala,2020,19542,4726,1297,271,6.6,5.7,754,116,3.9,2.5
Pirkkala,2021,19954,4780,1454,328,7.3,6.9,786,120,3.9,2.5
Pirkkala,2022,20165,4715,1408,276,7,5.9,811,125,4,2.7
Polvijärvi,1995,5668,,847,,14.9,,,,,
Polvijärvi,1996,5597,,1008,,18,,,,,
Polvijärvi,1997,5543,,1103,,19.9,,,,,
Polvijärvi,1998,5418,,1175,,21.7,,624,,11.5,
Polvijärvi,1999,5383,,1310,,24.3,,756,,14,
Polvijärvi,2000,5323,,1352,,25.4,,841,,15.8,
Polvijärvi,2001,5257,,1321,,25.1,,927,,17.6,
Polvijärvi,2002,5151,,1251,,24.3,,887,,17.2,
Polvijärvi,2003,5068,,1302,,25.7,,933,,18.4,
Polvijärvi,2004,4956,,1261,,25.4,,910,,18.4,
Polvijärvi,2005,4902,,1226,,25,,858,,17.5,
Polvijärvi,2006,4834,,1271,,26.3,,910,,18.8,
Polvijärvi,2007,4829,,1324,,27.4,,899,,18.6,
Polvijärvi,2008,4726,,1267,,26.8,,907,,19.2,
Polvijärvi,2009,4701,,1290,,27.4,,924,,19.7,
Polvijärvi,2010,4686,857,1220,204,26,23.8,918,,19.6,
Polvijärvi,2011,4642,865,1124,160,24.2,18.5,865,,18.6,
Polvijärvi,2012,4608,827,1053,163,22.9,19.7,816,,17.7,
Polvijärvi,2013,4546,814,926,133,20.4,16.3,719,85,15.8,10.4
Polvijärvi,2014,4494,777,895,145,19.9,18.7,678,83,15.1,10.7
Polvijärvi,2015,4446,772,870,140,19.6,18.1,662,89,14.9,11.5
Polvijärvi,2016,4401,745,858,128,19.5,17.2,614,74,14,9.9
Polvijärvi,2017,4310,704,886,126,20.6,17.9,612,68,14.2,9.7
Polvijärvi,2018,4206,686,859,113,20.4,16.5,606,60,14.4,8.7
Polvijärvi,2019,4147,664,839,123,20.2,18.5,599,67,14.4,10.1
Polvijärvi,2020,4097,659,873,158,21.3,24,617,82,15.1,12.4
Polvijärvi,2021,4058,637,801,111,19.7,17.4,613,72,15.1,11.3
Polvijärvi,2022,3978,629,781,98,19.6,15.6,575,55,14.5,8.7
Pomarkku,1995,2775,,289,,10.4,,,,,
Pomarkku,1996,2772,,349,,12.6,,,,,
Pomarkku,1997,2727,,392,,14.4,,,,,
Pomarkku,1998,2686,,392,,14.6,,203,,7.6,
Pomarkku,1999,2669,,435,,16.3,,236,,8.8,
Pomarkku,2000,2613,,483,,18.5,,264,,10.1,
Pomarkku,2001,2608,,471,,18.1,,322,,12.3,
Pomarkku,2002,2581,,475,,18.4,,310,,12,
Pomarkku,2003,2566,,483,,18.8,,318,,12.4,
Pomarkku,2004,2539,,515,,20.3,,340,,13.4,
Pomarkku,2005,2486,,492,,19.8,,348,,14,
Pomarkku,2006,2475,,481,,19.4,,338,,13.7,
Pomarkku,2007,2485,,485,,19.5,,343,,13.8,
Pomarkku,2008,2464,,457,,18.5,,319,,12.9,
Pomarkku,2009,2443,,440,,18,,291,,11.9,
Pomarkku,2010,2412,466,396,58,16.4,12.4,268,,11.1,
Pomarkku,2011,2352,447,413,56,17.6,12.5,286,,12.2,
Pomarkku,2012,2305,451,339,49,14.7,10.9,241,,10.5,
Pomarkku,2013,2282,453,394,72,17.3,15.9,241,,10.6,
Pomarkku,2014,2222,441,383,73,17.2,16.6,260,31,11.7,7
Pomarkku,2015,2186,433,387,86,17.7,19.9,250,40,11.4,9.2
Pomarkku,2016,2187,431,400,84,18.3,19.5,255,36,11.7,8.4
Pomarkku,2017,2124,409,340,51,16,12.5,224,25,10.5,6.1
Pomarkku,2018,2102,408,336,43,16,10.5,240,27,11.4,6.6
Pomarkku,2019,2044,380,379,65,18.5,17.1,237,22,11.6,5.8
Pomarkku,2020,2013,363,343,67,17,18.5,226,21,11.2,5.8
Pomarkku,2021,1968,339,364,68,18.5,20.1,233,22,11.8,6.5
Pomarkku,2022,1936,336,304,39,15.7,11.6,234,29,12.1,8.6
Pori,1995,84456,,6942,,8.2,,,,,
Pori,1996,84246,,7639,,9.1,,,,,
Pori,1997,84074,,8862,,10.5,,,,,
Pori,1998,83825,,10098,,12,,4049,,4.8,
Pori,1999,83510,,11281,,13.5,,5064,,6.1,
Pori,2000,83155,,12195,,14.7,,6067,,7.3,
Pori,2001,82909,,12589,,15.2,,6959,,8.4,
Pori,2002,82734,,12732,,15.4,,7512,,9.1,
Pori,2003,82973,,13129,,15.8,,8068,,9.7,
Pori,2004,82870,,13502,,16.3,,8234,,9.9,
Pori,2005,82863,,13625,,16.4,,8527,,10.3,
Pori,2006,82827,,14064,,17,,8782,,10.6,
Pori,2007,82917,,14318,,17.3,,9035,,10.9,
Pori,2008,82914,,13803,,16.6,,9182,,11.1,
Pori,2009,83138,,13864,,16.7,,9000,,10.8,
Pori,2010,83242,15425,13236,2151,15.9,13.9,8597,,10.3,
Pori,2011,83226,15371,13420,2208,16.1,14.4,8638,,10.4,
Pori,2012,83297,15202,12785,2113,15.3,13.9,8235,,9.9,
Pori,2013,83540,15123,12306,2071,14.7,13.7,7846,992,9.4,6.6
Pori,2014,83645,14972,12029,1931,14.4,12.9,7664,969,9.2,6.5
Pori,2015,83526,14856,11881,1939,14.2,13.1,7346,901,8.8,6.1
