Alue,Vuosi,Kesämökkejä (lkm)
Hausjärvi,2000,798
Hausjärvi,2005,812
Hausjärvi,2010,883
Hausjärvi,2015,867
Hausjärvi,2020,761
Hausjärvi,2021,768
Hausjärvi,2022,768
Heinola,1970,1304
Heinola,1980,1816
Heinola,1990,2453
Heinola,1995,2817
Heinola,2000,2966
Heinola,2005,3328
Heinola,2010,3394
Heinola,2015,3447
Heinola,2020,3710
Heinola,2021,3433
Heinola,2022,3420
Heinävesi,1970,304
Heinävesi,1980,658
Heinävesi,1990,1145
Heinävesi,1995,1340
Heinävesi,2000,1422
Heinävesi,2005,1647
Heinävesi,2010,1699
Heinävesi,2015,1785
Heinävesi,2020,1775
Heinävesi,2021,1768
Heinävesi,2022,1765
Helsinki,1970,2132
Helsinki,1980,310
Helsinki,1990,518
Helsinki,1995,525
Helsinki,2000,422
Helsinki,2005,393
Helsinki,2010,447
Helsinki,2015,407
Helsinki,2020,396
Helsinki,2021,402
Helsinki,2022,417
Hirvensalmi,1970,692
Hirvensalmi,1980,1415
Hirvensalmi,1990,2088
Hirvensalmi,1995,2374
Hirvensalmi,2000,2632
Hirvensalmi,2005,2817
Hirvensalmi,2010,2879
Hirvensalmi,2015,3016
Hirvensalmi,2020,2959
Hirvensalmi,2021,2960
Hirvensalmi,2022,2964
Hollola,1970,1207
Hollola,1980,1408
Hollola,1990,1695
Hollola,1995,1878
Hollola,2000,2066
Hollola,2005,2073
Hollola,2010,2076
Hollola,2015,2100
Hollola,2020,2046
Hollola,2021,1978
Hollola,2022,1944
Huittinen,1970,83
Huittinen,1980,183
Huittinen,1990,413
Huittinen,1995,429
Huittinen,2000,439
Huittinen,2005,440
Huittinen,2010,474
Huittinen,2015,498
Huittinen,2020,450
Huittinen,2021,445
Huittinen,2022,447
Humppila,1970,64
Humppila,1980,118
Humppila,1990,259
Humppila,1995,325
Humppila,2000,353
Humppila,2005,370
Humppila,2010,365
Humppila,2015,367
Humppila,2020,307
Humppila,2021,305
Humppila,2022,305
Hyrynsalmi,1970,63
Hyrynsalmi,1980,117
Hyrynsalmi,1990,345
Hyrynsalmi,1995,428
Hyrynsalmi,2000,483
Hyrynsalmi,2005,579
Hyrynsalmi,2010,651
Hyrynsalmi,2015,694
Hyrynsalmi,2020,712
Hyrynsalmi,2021,718
Hyrynsalmi,2022,717
Hyvinkää,1970,385
Hyvinkää,1980,367
Hyvinkää,1990,338
Hyvinkää,1995,366
Hyvinkää,2000,381
Hyvinkää,2005,374
Hyvinkää,2010,391
Hyvinkää,2015,419
Hyvinkää,2020,443
Hyvinkää,2021,448
Hyvinkää,2022,452
Hämeenkyrö,1970,691
Hämeenkyrö,1980,895
Hämeenkyrö,1990,1131
Hämeenkyrö,1995,1234
Hämeenkyrö,2000,1387
Hämeenkyrö,2005,1313
Hämeenkyrö,2010,1350
Hämeenkyrö,2015,1397
Hämeenkyrö,2020,1382
Hämeenkyrö,2021,1384
Hämeenkyrö,2022,1382
Hämeenlinna,1970,2828
Hämeenlinna,1980,4024
Hämeenlinna,1990,5683
Hämeenlinna,1995,6428
Hämeenlinna,2000,7472
Hämeenlinna,2005,7524
Hämeenlinna,2010,7694
Hämeenlinna,2015,7872
Hämeenlinna,2020,8636
Hämeenlinna,2021,8703
Hämeenlinna,2022,8668
Ii,1970,617
Ii,1980,942
Ii,1990,1522
Ii,1995,1719
Ii,2000,1861
Ii,2005,1928
Ii,2010,1987
Ii,2015,2062
Ii,2020,2093
Ii,2021,2098
Ii,2022,2104
Iisalmi,1970,377
Iisalmi,1980,644
Iisalmi,1990,1076
Iisalmi,1995,1181
Iisalmi,2000,1210
Iisalmi,2005,1206
Iisalmi,2010,1228
Iisalmi,2015,1180
Iisalmi,2020,1082
Iisalmi,2021,1089
Iisalmi,2022,1084
Iitti,1970,1210
Iitti,1980,1423
Iitti,1990,1867
Iitti,1995,2121
Iitti,2000,2400
Iitti,2005,2476
Iitti,2010,2569
Iitti,2015,2578
Iitti,2020,2465
Iitti,2021,2483
Iitti,2022,2493
Ikaalinen,1970,554
Ikaalinen,1980,1289
Ikaalinen,1990,1686
